Issue ID,Issue Type,Summary,Description,Epic Name,Epic Link,Parent ID,Labels,Labels,"Link ""Blocks""","Link ""Blocks""","Link ""Blocks"""
E-first-run,Epic,First run,"Steps: Arrive with no account, Add the first file.",First run,,,first-run,ux,,,
E-manage,Epic,Manage files,"Steps: See what is here, Move a file into a folder, Remove a file, Share a file, See the cost before saving.",Manage files,,,manage,ux,,,
E-find,Epic,Find things,Steps: Search for a file.,Find things,,,find,ux,,,
E-account,Epic,Manage account,Steps: Check storage used.,Manage account,,,account,ux,,,
S-first-run-arrive,Story,Arrive with no account,"I want to arrive with no account, so I can ⟨outcome — one line, from whoever knows why this step exists⟩.

Context: an entrance assumes no prior state. Why the design is like this: a periodic visitor has forgotten what this is for. Trade-off accepted: a screen between a returning person and their files.

Acceptance criteria
- Welcome renders at every supported width with nothing off the frame, a heading, labelled controls, targets at or over the minimum, and no text under its contrast threshold in either theme  [overflow, structure, target-size, contrast]
- every route declared from these screens binds to a label that is on the board  [routes]
- no term the vocabulary policy forbids appears outside the zone that allows it  [vocab]

Criteria marked with a check in brackets are proved by that harness, not by opinion. Run them before closing this.

Size hint: M — 1 sub-task, 3 criteria, 0 blockers. A count, not an estimate.",,First run,,first-run,ux,S-manage-see,S-find-search,S-account-storage
T-first-run-welcome,Sub-task,Welcome,an entrance assumes no prior state,,,S-first-run-arrive,First-run,ux,,,
K-d-001,Spike,"Decide: does the cost estimate appear before saving, or after?","Does the cost estimate appear before saving, or after?

Audit found one step in the agreed scope that nothing serves.

Option: Before saving
- buys: nobody is surprised by a charge
- costs: the estimate must be computed on a file that does not exist yet
- kills: the one-click save

Option: After saving, before publishing
- buys: an exact number instead of an estimate
- costs: the person has already committed
- kills: the promise that nothing happens until you choose

Right if: Before wins if arrivals are price-sensitive rather than already committed.

This is not an estimate task. Nothing it blocks should be built until it is answered, because both options are still live and they build different things.",,Manage files,,decision,ux,S-manage-see,,
S-manage-see,Story,See what is here,"When I am in Files, empty and choose Add a file, I want to see what is here, so I can ⟨outcome — one line, from whoever knows why this step exists⟩.

Context: the list is where a periodic visitor lands. Why the design is like this: a visitor has forgotten what this is for, and the files are the memory. Trade-off accepted: no room for status.

Acceptance criteria
- Files renders at every supported width with nothing off the frame, a heading, labelled controls, targets at or over the minimum, and no text under its contrast threshold in either theme  [overflow, structure, target-size, contrast]
- every route declared from these screens binds to a label that is on the board  [routes]
- no term the vocabulary policy forbids appears outside the zone that allows it  [vocab]

Criteria marked with a check in brackets are proved by that harness, not by opinion. Run them before closing this.

Size hint: M — 2 sub-tasks, 3 criteria, 2 blockers. A count, not an estimate.

Note: Sync did not finish serves no step in the agreed scope. It is reached from this story, so it is built here — confirm the scope should name it.

Waits for: Decide: does the cost estimate appear before saving, or after? (K-d-001), Arrive with no account (S-first-run-arrive)",,Manage files,,manage,ux,S-first-run-first-file,S-manage-share,
S-first-run-first-file,Story,Add the first file,"When I am in Welcome and choose Add your first file, I want to add the first file, so I can ⟨outcome — one line, from whoever knows why this step exists⟩.

Context: seven places had no empty state, and an empty place is the most common screen any of them will ever show. Why the design is like this: one component makes the decision once. Trade-off accepted: the copy has to be generic enough to fit all of them.

Acceptance criteria
- Files, empty renders at every supported width with nothing off the frame, a heading, labelled controls, targets at or over the minimum, and no text under its contrast threshold in either theme  [overflow, structure, target-size, contrast]
- every route declared from these screens binds to a label that is on the board  [routes]
- Files, empty says what to do next, not only that there is nothing here
- no term the vocabulary policy forbids appears outside the zone that allows it  [vocab]

Criteria marked with a check in brackets are proved by that harness, not by opinion. Run them before closing this.

Size hint: M — 1 sub-task, 4 criteria, 1 blocker. A count, not an estimate.

Waits for: See what is here (S-manage-see)",,First run,,first-run,ux,,,
T-files-empty,Sub-task,"Files, empty","seven places had no empty state, and an empty place is the most common screen any of them will ever show",,,S-first-run-first-file,Files,ux,,,
T-files-list,Sub-task,Files,the list is where a periodic visitor lands,,,S-manage-see,Files,ux,,,
T-sync-failed,Sub-task,Sync did not finish,Refused: changes made on this device have not reached the others. Not a crash — the local copy is safe and is exactly what the failure state says it is. Serves no named step; reached from Files.,,,S-manage-see,Files,ux,,,
S-manage-move,Story,Move a file into a folder,"When I am in Files and choose Move to folder…, I want to move a file into a folder, so I can ⟨outcome — one line, from whoever knows why this step exists⟩.

Context: every other file manager has taught people that moving a file into a shared folder shares it. Why the design is like this: the worst outcome is a file reaching the wrong person, so the sentence earns a screen. Trade-off accepted: one more step in a common action.

Acceptance criteria
- Move to folder renders at every supported width with nothing off the frame, a heading, labelled controls, targets at or over the minimum, and no text under its contrast threshold in either theme  [overflow, structure, target-size, contrast]
- every route declared from these screens binds to a label that is on the board  [routes]
- no term the vocabulary policy forbids appears outside the zone that allows it  [vocab]

Criteria marked with a check in brackets are proved by that harness, not by opinion. Run them before closing this.

Size hint: M — 1 sub-task, 3 criteria, 0 blockers. A count, not an estimate.",,Manage files,,manage,ux,,,
T-files-move,Sub-task,Move to folder,every other file manager has taught people that moving a file into a shared folder shares it,,,S-manage-move,Files,ux,,,
S-manage-remove,Story,Remove a file,"When I am in Files and choose Remove, I want to remove a file, so I can ⟨outcome — one line, from whoever knows why this step exists⟩.

Context: every trash metaphor promises the item is gone and the space comes back. This product delivers neither, so the name was the lie. Why the design is like this: the button says Remove, so the place is its past tense, and the verb and the noun agree. Trade-off accepted: one unfamiliar word.

Acceptance criteria
- Removed renders at every supported width with nothing off the frame, a heading, labelled controls, targets at or over the minimum, and no text under its contrast threshold in either theme  [overflow, structure, target-size, contrast]
- every route declared from these screens binds to a label that is on the board  [routes]
- Removed has an empty state — an empty place is the most common screen it will ever show
- no term the vocabulary policy forbids appears outside the zone that allows it  [vocab]

Criteria marked with a check in brackets are proved by that harness, not by opinion. Run them before closing this.

Size hint: M — 1 sub-task, 4 criteria, 0 blockers. A count, not an estimate.",,Manage files,,manage,ux,,,
T-files-removed,Sub-task,Removed,"every trash metaphor promises the item is gone and the space comes back. This product delivers neither, so the name was the lie",,,S-manage-remove,Files,ux,,,
